,price
1307450,109000000
1333348,1200000
1301358,599900
1354604,207900
1330275,1250000
1327459,988000
1259696,21900000
1305044,650000
1323228,3698000
1281292,830000
1267777,700000
1263179,1325000
1326630,1395000
1346284,375000
1326907,1050000
1342445,549900
1271207,895000
1263840,800000
1309951,465900
1306244,1699800
1353583,525000
1259222,940000
1343384,999999
1325316,3495000
1279038,30000
1322599,2725000
1277304,3950000
1285383,1800000
1350529,499000
1318935,429900
1311060,345000
1279858,1100000
1265982,1125000
1307587,3299000
1284163,649900
1306893,4995000
1287798,397000
1260601,975000
1308226,1399000
1266801,575000
1294119,440000
1259042,2800000
1262987,699000
1308434,699000
1280953,700000
1260460,600000
1258532,868000
1352452,825000
1285253,975000
1347847,792000
1312053,2000000
1302656,329900
1268529,1475000
1306041,1335000
1338460,480000
1322382,649000
1285892,510000
1278630,749900
1284109,950000
1341566,455000
1265970,1115000
1295269,345000
1337893,2899000
1357767,375000
1353920,495000
1327392,1100000
1336922,685000
1322453,9888000
1266711,1998000
1331112,998000
1344600,285000
1347717,825000
1289597,1950000
1335868,499000
1286603,433000
1342711,385000
1264877,1745000
1260420,670000
1333437,824950
1331567,599000
1354413,435000
1330536,4088888
1347988,299000
1287152,605000
1280181,945000
1297088,415000
1306924,999000
1272105,725000
1333523,460000
1301247,449000
1265671,675000
1349124,413300
1262447,739999
1257813,526000
1345433,849000
1274797,5495000
1320090,284900
1305227,480000
1294085,210000
1351658,339900
1274662,1260000
1283595,4495000
1270518,312500
1288441,3160000
1271377,649000
1299522,595000
1271525,799000
1267647,929000
1259825,4495000
1259435,880000
1262402,1989000
1348853,1599900
1300651,368000
1332161,2780000
1312434,749000
1319415,270000
1263292,449000
1309760,850000
1265599,1150000
1275682,1100000
1321344,439900
1313340,629000
1319328,224900
1348412,489000
1279486,799999
1334216,545000
1351767,1199000
1277297,440000
1293543,459000
1329447,825000
1276166,928000
1284561,1685000
1264373,975000
1264973,2695000
1322314,1650000
1341662,434900
1328304,1029000
1265576,999000
1260024,650000
1306969,575000
1273584,4500000
1354935,610000
1270576,349888
1276219,630000
1288402,1265000
1296829,370000
1332413,219000
1346122,275000
1276934,1800000
1289106,1485000
1346625,1797300
1280130,1250000
1298043,650000
1290318,260000
1289533,176500
1326330,975000
1312421,699000
1305884,895000
1341159,330000
1258508,828000
1297482,400000
1313234,957000
1269340,1275000
1304408,415000
1309078,249900
1273424,899999
1325877,1735000
1265272,1098000
1332376,415000
1296296,500000
1291223,239990
1319823,107500
1267168,1148000
1322491,1088000
1353000,499000
1328014,825000
1325688,769000
1332442,629000
1267117,849000
1291346,595000
1320899,500000
1261480,2595000
1269983,1295000
1296819,335000
1269950,5300000
1292310,410000
1271366,969000
1351405,330000
1268801,375000
1285785,700000
1350135,825000
1279243,435000
1282354,599000
1354379,520000
1296264,380000
1284919,1249000
1258951,297500
1294874,285000
1355524,225000
1355545,365000
1288622,875000
1338035,1199000
1312489,1249000
1283295,4950000
1320285,439900
1269017,1795000
1268812,1099000
1347142,393000
1347297,449900
1324592,7500000
1300773,516000
1308670,635000
1331313,899000
1281590,185000
1273863,2495000
1265744,769900
1337251,1499000
1349616,399900
1319902,175000
1336699,849000
1294530,450000
1336123,1850000
1307829,1490000
1304125,268000
1349738,545000
1303262,489900
1309163,539000
1298766,545000
1322299,699950
1253342,878000
1299934,842051
1301856,455000
1320128,749000
1347464,499000
1257304,639000
1332445,825000
1341161,949950
1265385,598888
1358543,1132000
1351171,459900
1282147,650000
1267343,785000
1272984,1564990
1356304,3300000
1317801,420000
1318644,2977000
1339042,439900
1329351,569000
1343404,401990
1349073,609000
1261043,768000
1305863,349999
1306912,1098800
1293956,1799000
1340126,370000
1282594,1050000
1310212,199999
1288131,469000
1340514,700000
1310608,170000
1253133,798000
1296478,779999
1278041,515000
1263438,6995000
1352171,2799000
1268700,2760000
1341702,411000
1296416,574999
1259588,2000000
1322108,680000
1350214,649900
1334071,760000
1342444,734000
1306719,3000000
1288065,1699000
1325221,1049500
1340203,749000
1319801,470000
1341830,579000
1260106,1159000
1318556,385000
1353514,950000
1307367,749900
1293058,472499
1347179,1485000
1284553,309000
1317536,654000
1343945,779000
1269062,635000
1345771,760000
1297843,549998
1352499,713155
1315866,100000
1277964,1499000
1344020,969000
1303678,559900
1263312,1999997
1271699,649000
1265220,539000
1304586,612990
1297714,230000
1300795,565000
1355971,345000
1340765,1100000
1294100,299900
1307293,1495000
1298376,350000
1339356,259000
1282909,825000
1331158,669000
1296165,380000
1355485,399000
1257735,1020000
1260578,1400000
1274082,1269000
1338339,1399000
1315836,319000
1350201,489900
1282162,800000
1295172,284999
1335766,749000
1276293,629000
1337499,1600000
1291251,370800
1278867,699999
1349248,439900
1274469,799000
1354210,699000
1288787,1175000
1352388,675585
1298159,650000
1322291,6950000
1342254,550000
1348194,1195000
1316304,899000
1278939,615000
1310760,499000
1258221,850000
1326049,1095000
1329116,1249000
1336132,990000
1349674,519000
1302999,500000
1348463,450000
1325822,879000
1300079,435000
1302096,579999
1287706,899000
1351914,489000
1300336,525000
1264554,1729000
1351505,665000
1259059,1950000
1281582,775000
1332803,2300000
1341449,685000
1279528,806530
1257469,639000
1353895,429000
1351346,265000
1355997,775000
1351290,375000
1319425,349000
1271724,1299999
1284841,1875000
1349364,687900
1337598,4500000
1345406,699000
1329065,999000
1280795,825000
1310143,210000
1333750,515000
1346804,540000
1320208,494900
1323422,2498000
1289393,980000
1322122,405000
1321680,539000
1293938,844000
1319786,529000
1277134,1225000
1271165,549000
1299803,423500
1348298,707000
1269520,1099000
1305098,1060000
1312529,985000
1270311,564900
1283199,28000000
1274029,1350000
1279082,450000
1328003,599000
1354612,179900
1257258,937000
1263729,6304000
1271257,325000
1291874,224999
1323978,3498000
1321180,484900
1333653,734950
1339208,689000
1283499,735000
1333045,749000
1324502,799900
1350727,1190000
1305187,540000
1285812,699900
1337654,1288000
1294278,289000
1262008,600000
1326896,1195000
1300721,600000
1306988,774888
1322555,1588888
1260050,899000
1311880,435000
1298737,1010000
1307106,1280000
1335007,450000
1293502,849000
1319015,495000
1319171,1500000
1281246,900000
1303718,409900
1325494,1195000
1298671,729900
1325765,779000
1320522,575000
1258377,3499000
1259725,659000
1319551,610000
1346576,400000
1275641,769000
1352897,650000
1320418,425000
1252923,949000
1323402,1390000
1354810,699000
1257641,539950
1351892,415000
1258570,1895000
1258634,900000
1263000,1100000
1335666,949000
1326449,875000
1336274,475000
1327866,640000
1274383,1499900
1323632,7800000
1341735,339900
1320015,275000
1269276,879900
1327426,1099000
1268964,439000
1319872,450000
1264535,950000
1339247,669000
1331683,513000
1331368,649000
1350719,599900
1323601,23500000
1275373,729900
1326753,599900
1289734,520000
1258069,4599000
1330305,1868000
1332757,569999
1312378,3995000
1287680,1050000
1304805,489000
1310232,310000
1338709,544900
1280880,625000
1268010,1025000
1334898,1349000
1279926,379000
1286049,1099000
1274475,500000
1276188,529990
1334067,550000
1326050,695000
1293384,279900
1329397,849000
1258929,950000
1323144,4175000
1280896,743000
1346300,515900
1300171,499900
1269460,1275000
1305142,949999
1285910,2495000
1295524,699000
1352968,497000
1328316,1485000
1287536,685000
1338715,659789
1283728,1100000
1264338,679000
1321865,5295000
1316287,479999
1350553,949000
1264203,610000
1339010,850000
1285263,1299999
1320373,405000
1267363,3750000
1307321,2100000
1297388,529000
1317352,699000
1259183,6888000
1279674,950000
1340481,475000
1284276,1500000
1336837,741990
1291392,649000
1262340,599900
1329069,999900
1319227,360000
1329829,1588000
1315112,290000
1344001,252500
1299948,2900000
1325623,1749000
1278478,790000
1307334,937021
1346548,675000
1309845,299900
1356356,519900
1279444,670000
1325299,2390000
1298163,1195000
1233209,369000
1265843,998325
1296447,565000
1259447,825000
1269924,3275000
1348864,439900
1323384,3998000
1289011,999900
1302751,949999
1316945,559999
1336038,999000
1268426,2199000
1293170,439900
1312902,2250000
1324118,1499000
1321361,459000
1333586,675000
1354805,440000
1334926,1350000
1307667,529900
1355482,585000
1281882,990000
1268477,1350000
1304901,340000
1358348,349950
1332550,1299000
1305100,918000
1344867,289000
1283033,2997000
1269436,370000
1332886,950000
1326948,2495000
1268499,1200000
1307103,879000
1276993,920000
1295931,2000000
1272491,1499900
1270571,779000
1336396,397500
1277302,540000
1351752,850000
1309626,369900
1352951,499000
1323774,3400000
1350195,765000
1270960,1395000
1355528,459000
1259108,375000
1324874,700000
1340570,445000
1333144,1550000
