,price
68244,437500.0
27671,589900.0
11895,1226695.0
60535,799000.0
36982,279000.0
56951,378000.0
56919,798000.0
30402,632500.0
18264,1495000.0
26943,715000.0
9451,1125000.0
5897,929000.0
31276,624900.0
65353,280000.0
51745,599900.0
53683,1999000.0
51561,1549000.0
45739,1895000.0
32734,414900.0
20804,999800.0
40533,459900.0
59862,799000.0
20791,825000.0
5110,1395000.0
62908,300000.0
384,989000.0
11756,989000.0
32418,875000.0
47543,1640000.0
10750,799000.0
26064,1299000.0
4185,849900.0
56143,375000.0
9017,891000.0
14612,799900.0
47712,895000.0
25499,389900.0
9479,699000.0
3616,462000.0
30265,510000.0
41663,355000.0
26047,735000.0
50572,749000.0
48389,1999700.0
11077,649000.0
32003,410000.0
58529,689000.0
12819,1200000.0
6186,1020000.0
9583,1350000.0
7748,1160000.0
36283,429000.0
19766,699999.0
24358,269000.0
55237,1950000.0
59307,425000.0
15980,800490.0
68068,445000.0
30399,520000.0
38911,334900.0
52164,495000.0
18391,695000.0
44354,1590000.0
37907,309000.0
39478,250000.0
26179,1030000.0
41733,155000.0
25128,749000.0
52128,834990.0
41102,835000.0
61407,1275000.0
46957,1199000.0
8529,498000.0
9402,1925000.0
28749,330000.0
57363,469950.0
33801,1120000.0
8752,750000.0
19701,899000.0
17384,725000.0
1529,849900.0
54313,1125000.0
11748,1600000.0
27768,849000.0
788,389900.0
29569,765000.0
6972,650000.0
59937,499000.0
58070,424900.0
34154,1300000.0
7484,675000.0
52409,536900.0
29375,385000.0
9228,259000.0
55032,750000.0
30412,499900.0
2297,800000.0
40329,400000.0
35198,1111000.0
53017,699500.0
23412,1299000.0
63803,893642.0
38042,154000.0
61318,379900.0
8822,2100000.0
46768,1095000.0
50283,725000.0
49607,1795000.0
66297,1395000.0
45121,1695000.0
33967,719900.0
38809,430000.0
11111,799000.0
13685,475000.0
39240,789000.0
56386,330000.0
31557,919990.0
19799,350000.0
2939,2145000.0
375,1699000.0
57795,74999.0
66618,549000.0
5603,785000.0
49743,310000.0
29723,479000.0
8243,999000.0
21169,945000.0
41840,185000.0
10860,440000.0
18712,809900.0
44456,1499000.0
60347,315000.0
59536,162000.0
47731,1179000.0
11081,1099000.0
28045,370000.0
48758,899950.0
68291,649900.0
51238,785000.0
40154,470000.0
53676,1195000.0
42591,469300.0
20776,1660000.0
50663,479950.0
4685,1828000.0
38800,390000.0
7524,1150000.0
25254,750000.0
15724,674900.0
8189,900000.0
17111,700000.0
67315,559000.0
8933,750000.0
4132,619900.0
62400,375000.0
65442,948365.0
747,1898000.0
113,144900.0
64473,629990.0
40669,530000.0
54201,1849000.0
33266,705000.0
58482,574200.0
7198,599000.0
25981,619000.0
57260,749000.0
27235,104000.0
27690,449500.0
1941,1075000.0
64947,340000.0
39463,280000.0
30546,1995000.0
67089,399000.0
14278,1579000.0
46212,1595000.0
44013,1628000.0
54297,785000.0
4951,995000.0
54427,1375000.0
19435,663000.0
45124,1840000.0
2901,520000.0
64296,687625.0
14414,649999.0
40726,415000.0
39431,60000.0
66610,379000.0
43675,485300.0
13569,545000.0
61640,349950.0
14255,79900.0
31234,475000.0
60979,1375000.0
2629,675500.0
50339,950000.0
20943,1249000.0
29029,639000.0
45937,1325000.0
31321,395000.0
43030,535000.0
44901,1159000.0
58396,350000.0
61473,661000.0
48431,671000.0
34288,950000.0
35373,425000.0
20018,1075000.0
4200,1949900.0
68771,1700000.0
10993,1299000.0
47007,1495000.0
12236,134900.0
57535,650000.0
30131,345000.0
54141,799000.0
63274,549000.0
65614,499900.0
35902,374900.0
21758,1050000.0
7142,720000.0
32484,419000.0
59661,185000.0
67069,519000.0
30654,485000.0
47844,1125000.0
68754,249500.0
33982,2100000.0
21275,669900.0
26066,559000.0
66851,290000.0
56199,955000.0
52628,440000.0
63984,949990.0
66053,128000.0
56718,489000.0
58503,700000.0
62405,450000.0
40393,450000.0
36013,395000.0
16099,658000.0
29974,495000.0
31231,525000.0
19290,335000.0
4016,715000.0
24790,525000.0
27744,219900.0
30458,560000.0
4397,749000.0
32445,431777.0
59282,500000.0
55597,764500.0
62285,375000.0
18897,1899000.0
